CustomDataset: images.shape=(18900, 3, 128, 128), labels.shape=(18900,)

Training final model with config: {'latent_channels': 8, 'lr': 0.0001, 'batch_size': 32, 'alpha': 0.7, 'beta': 1.0}
Epoch 1/500, Train Loss: -3.2334, Val Loss: -4.1129, Recon MSE: 0.005350, Probing Acc: 0.0362, Score: 0.147606
Epoch 2/500, Train Loss: -4.4634, Val Loss: -4.4215, Recon MSE: 0.003974, Probing Acc: 0.0384, Score: 0.103590
Epoch 3/500, Train Loss: -4.7459, Val Loss: -4.8178, Recon MSE: 0.002698, Probing Acc: 0.0423, Score: 0.063731
Epoch 4/500, Train Loss: -4.8816, Val Loss: -4.9492, Recon MSE: 0.002371, Probing Acc: 0.0402, Score: 0.058973
Epoch 5/500, Train Loss: -4.9553, Val Loss: -5.0336, Recon MSE: 0.002188, Probing Acc: 0.0389, Score: 0.056250
Epoch 6/500, Train Loss: -4.9953, Val Loss: -5.0409, Recon MSE: 0.002188, Probing Acc: 0.0437, Score: 0.050122
Epoch 7/500, Train Loss: -5.0398, Val Loss: -5.1151, Recon MSE: 0.002041, Probing Acc: 0.0455, Score: 0.044856
Epoch 8/500, Train Loss: -5.0722, Val Loss: -5.1013, Recon MSE: 0.002031, Probing Acc: 0.0426, Score: 0.047681
Epoch 9/500, Train Loss: -5.1106, Val Loss: -5.1395, Recon MSE: 0.002004, Probing Acc: 0.0437, Score: 0.045905
Epoch 10/500, Train Loss: -5.1375, Val Loss: -4.9665, Recon MSE: 0.002139, Probing Acc: 0.0434, Score: 0.049295
Epoch 11/500, Train Loss: -5.1683, Val Loss: -4.9295, Recon MSE: 0.002137, Probing Acc: 0.0466, Score: 0.045901
Epoch 12/500, Train Loss: -5.1957, Val Loss: -5.1675, Recon MSE: 0.001862, Probing Acc: 0.0447, Score: 0.041649
Epoch 13/500, Train Loss: -5.2293, Val Loss: -5.0939, Recon MSE: 0.001828, Probing Acc: 0.0513, Score: 0.035620
Epoch 14/500, Train Loss: -5.2527, Val Loss: -5.0932, Recon MSE: 0.001785, Probing Acc: 0.0484, Score: 0.036881
Epoch 15/500, Train Loss: -5.2745, Val Loss: -5.3110, Recon MSE: 0.001708, Probing Acc: 0.0511, Score: 0.033444
